Symbol,Company,Market,YahooSymbol
GEHC,GE HealthCare,US,GEHC
GEN,Gen Digital,US,GEN
GEV,GE Vernova,US,GEV
GILD,Gilead Sciences,US,GILD
GIS,General Mills,US,GIS
GL,Globe Life,US,GL
GLW,Corning Inc.,US,GLW
GM,General Motors,US,GM
GNRC,Generac,US,GNRC
GOOG,Alphabet Inc. (Class C),US,GOOG
GOOGL,Alphabet Inc. (Class A),US,GOOGL
GPC,Genuine Parts Company,US,GPC
GPN,Global Payments,US,GPN
GRMN,Garmin,US,GRMN
GS,Goldman Sachs,US,GS
GWW,W. W. Grainger,US,GWW
HAL,Halliburton,US,HAL
HAS,Hasbro,US,HAS
HBAN,Huntington Bancshares,US,HBAN
HCA,HCA Healthcare,US,HCA
HD,Home Depot (The),US,HD
HIG,Hartford (The),US,HIG
HII,Huntington Ingalls Industries,US,HII
HLT,Hilton Worldwide,US,HLT
HOLX,Hologic,US,HOLX
HON,Honeywell,US,HON
HPE,Hewlett Packard Enterprise,US,HPE
HPQ,HP Inc.,US,HPQ
HRL,Hormel Foods,US,HRL
HSIC,Henry Schein,US,HSIC
HST,Host Hotels & Resorts,US,HST
HSY,Hershey Company (The),US,HSY
HUBB,Hubbell Incorporated,US,HUBB
HUM,Humana,US,HUM
HWM,Howmet Aerospace,US,HWM
IBKR,Interactive Brokers,US,IBKR
IBM,IBM,US,IBM
ICE,Intercontinental Exchange,US,ICE
IDXX,Idexx Laboratories,US,IDXX
IEX,IDEX Corporation,US,IEX
IFF,International Flavors & Fragrances,US,IFF
INCY,Incyte,US,INCY
INTC,Intel,US,INTC
INTU,Intuit,US,INTU
INVH,Invitation Homes,US,INVH
IP,International Paper,US,IP
IPG,Interpublic Group of Companies (The),US,IPG
IQV,IQVIA,US,IQV
IR,Ingersoll Rand,US,IR
IRM,Iron Mountain,US,IRM
ISRG,Intuitive Surgical,US,ISRG
IT,Gartner,US,IT
ITW,Illinois Tool Works,US,ITW
IVZ,Invesco,US,IVZ
J,Jacobs Solutions,US,J
JBHT,J.B. Hunt,US,JBHT
JBL,Jabil,US,JBL
JCI,Johnson Controls,US,JCI
JKHY,Jack Henry & Associates,US,JKHY
JNJ,Johnson & Johnson,US,JNJ
JPM,JPMorgan Chase,US,JPM
K,Kellanova,US,K
KDP,Keurig Dr Pepper,US,KDP
KEY,KeyCorp,US,KEY
KEYS,Keysight Technologies,US,KEYS
KHC,Kraft Heinz,US,KHC
KIM,Kimco Realty,US,KIM
KKR,KKR & Co.,US,KKR
KLAC,KLA Corporation,US,KLAC
KMB,Kimberly-Clark,US,KMB
KMI,Kinder Morgan,US,KMI
KMX,CarMax,US,KMX
KO,Coca-Cola Company (The),US,KO
KR,Kroger,US,KR
KVUE,Kenvue,US,KVUE
L,Loews Corporation,US,L
LDOS,Leidos,US,LDOS
LEN,Lennar,US,LEN
LH,Labcorp,US,LH
LHX,L3Harris,US,LHX
LII,Lennox International,US,LII
LIN,Linde plc,US,LIN
LKQ,LKQ Corporation,US,LKQ
LLY,Lilly (Eli),US,LLY
LMT,Lockheed Martin,US,LMT
LNT,Alliant Energy,US,LNT
LOW,Lowe's,US,LOW
LRCX,Lam Research,US,LRCX
LULU,Lululemon Athletica,US,LULU
LUV,Southwest Airlines,US,LUV
LVS,Las Vegas Sands,US,LVS
LW,Lamb Weston,US,LW
LYB,LyondellBasell,US,LYB
LYV,Live Nation Entertainment,US,LYV
MA,Mastercard,US,MA
MAA,Mid-America Apartment Communities,US,MAA
MAR,Marriott International,US,MAR
MAS,Masco,US,MAS
MCD,McDonald's,US,MCD
MCHP,Microchip Technology,US,MCHP
MCK,McKesson Corporation,US,MCK
MCO,Moody's Corporation,US,MCO
MDLZ,Mondelez International,US,MDLZ
MDT,Medtronic,US,MDT
MET,MetLife,US,MET
META,Meta Platforms,US,META
MGM,MGM Resorts,US,MGM
MHK,Mohawk Industries,US,MHK
MKC,McCormick & Company,US,MKC
MKTX,MarketAxess,US,MKTX
MLM,Martin Marietta Materials,US,MLM
MMC,Marsh McLennan,US,MMC
MMM,3M,US,MMM
MNST,Monster Beverage,US,MNST
MO,Altria,US,MO
MOH,Molina Healthcare,US,MOH
MOS,Mosaic Company (The),US,MOS
MPC,Marathon Petroleum,US,MPC
MPWR,Monolithic Power Systems,US,MPWR
MRK,Merck & Co.,US,MRK
MRNA,Moderna,US,MRNA
MS,Morgan Stanley,US,MS
MSCI,MSCI Inc.,US,MSCI
MSFT,Microsoft,US,MSFT
MSI,Motorola Solutions,US,MSI
MTB,M&T Bank,US,MTB
MTCH,Match Group,US,MTCH
MTD,Mettler Toledo,US,MTD
MU,Micron Technology,US,MU
NCLH,Norwegian Cruise Line Holdings,US,NCLH
NDAQ,"Nasdaq, Inc.",US,NDAQ
NDSN,Nordson Corporation,US,NDSN
NEE,NextEra Energy,US,NEE
NEM,Newmont,US,NEM
NFLX,Netflix,US,NFLX
NI,NiSource,US,NI
NKE,"Nike, Inc.",US,NKE
NOC,Northrop Grumman,US,NOC
NOW,ServiceNow,US,NOW
NRG,NRG Energy,US,NRG
NSC,Norfolk Southern,US,NSC
NTAP,NetApp,US,NTAP
NTRS,Northern Trust,US,NTRS
NUE,Nucor,US,NUE
NVDA,Nvidia,US,NVDA
NVR,"NVR, Inc.",US,NVR
NWS,News Corp (Class B),US,NWS
NWSA,News Corp (Class A),US,NWSA
NXPI,NXP Semiconductors,US,NXPI
O,Realty Income,US,O
ODFL,Old Dominion,US,ODFL
OKE,Oneok,US,OKE
OMC,Omnicom Group,US,OMC
ON,ON Semiconductor,US,ON
ORCL,Oracle Corporation,US,ORCL
ORLY,O’Reilly Automotive,US,ORLY
OTIS,Otis Worldwide,US,OTIS
OXY,Occidental Petroleum,US,OXY
PANW,Palo Alto Networks,US,PANW
PAYC,Paycom,US,PAYC
PAYX,Paychex,US,PAYX
PCAR,Paccar,US,PCAR
PCG,PG&E Corporation,US,PCG
PEG,Public Service Enterprise Group,US,PEG
PEP,PepsiCo,US,PEP
PFE,Pfizer,US,PFE
PFG,Principal Financial Group,US,PFG
PG,Procter & Gamble,US,PG
PGR,Progressive Corporation,US,PGR
PH,Parker Hannifin,US,PH
PHM,PulteGroup,US,PHM
PKG,Packaging Corporation of America,US,PKG
PLD,Prologis,US,PLD
PLTR,Palantir Technologies,US,PLTR
PM,Philip Morris International,US,PM
PNC,PNC Financial Services,US,PNC
PNR,Pentair,US,PNR
PNW,Pinnacle West Capital,US,PNW
PODD,Insulet Corporation,US,PODD
POOL,Pool Corporation,US,POOL
PPG,PPG Industries,US,PPG
PPL,PPL Corporation,US,PPL
PRU,Prudential Financial,US,PRU
PSA,Public Storage,US,PSA
PSKY,Paramount Skydance Corporation,US,PSKY
PSX,Phillips 66,US,PSX
PTC,PTC Inc.,US,PTC
PWR,Quanta Services,US,PWR
PYPL,PayPal,US,PYPL
QCOM,Qualcomm,US,QCOM
RCL,Royal Caribbean Group,US,RCL
REG,Regency Centers,US,REG
REGN,Regeneron Pharmaceuticals,US,REGN
RF,Regions Financial Corporation,US,RF
RJF,Raymond James Financial,US,RJF
RL,Ralph Lauren Corporation,US,RL
RMD,ResMed,US,RMD
ROK,Rockwell Automation,US,ROK
ROL,"Rollins, Inc.",US,ROL
ROP,Roper Technologies,US,ROP
ROST,Ross Stores,US,ROST
RSG,Republic Services,US,RSG
RTX,RTX Corporation,US,RTX
RVTY,Revvity,US,RVTY
SBAC,SBA Communications,US,SBAC
SBUX,Starbucks,US,SBUX
SCHW,Charles Schwab Corporation,US,SCHW
SHW,Sherwin-Williams,US,SHW
SJM,J.M. Smucker Company (The),US,SJM
SLB,Schlumberger,US,SLB
SMCI,Supermicro,US,SMCI
SNA,Snap-on,US,SNA
SNPS,Synopsys,US,SNPS
SO,Southern Company,US,SO
SOLV,Solventum,US,SOLV
SPG,Simon Property Group,US,SPG
SPGI,S&P Global,US,SPGI
SRE,Sempra,US,SRE
STE,Steris,US,STE
STLD,Steel Dynamics,US,STLD
STT,State Street Corporation,US,STT
STX,Seagate Technology,US,STX
STZ,Constellation Brands,US,STZ
SW,Smurfit Westrock,US,SW
SWK,Stanley Black & Decker,US,SWK
SWKS,Skyworks Solutions,US,SWKS
SYF,Synchrony Financial,US,SYF
SYK,Stryker Corporation,US,SYK
SYY,Sysco,US,SYY
T,AT&T,US,T
TAP,Molson Coors Beverage Company,US,TAP
TDG,TransDigm Group,US,TDG
TDY,Teledyne Technologies,US,TDY
TECH,Bio-Techne,US,TECH
TEL,TE Connectivity,US,TEL
TER,Teradyne,US,TER
TFC,Truist Financial,US,TFC
TGT,Target Corporation,US,TGT
TJX,TJX Companies,US,TJX
TKO,TKO Group Holdings,US,TKO
TMO,Thermo Fisher Scientific,US,TMO
TMUS,T-Mobile US,US,TMUS
TPL,Texas Pacific Land Corporation,US,TPL
TPR,"Tapestry, Inc.",US,TPR
TRGP,Targa Resources,US,TRGP
TRMB,Trimble Inc.,US,TRMB
TROW,T. Rowe Price,US,TROW
TRV,Travelers Companies (The),US,TRV
TSCO,Tractor Supply,US,TSCO
TSLA,"Tesla, Inc.",US,TSLA
TSN,Tyson Foods,US,TSN
TT,Trane Technologies,US,TT
TTD,Trade Desk (The),US,TTD
TTWO,Take-Two Interactive,US,TTWO
TXN,Texas Instruments,US,TXN
TXT,Textron,US,TXT
TYL,Tyler Technologies,US,TYL
UAL,United Airlines Holdings,US,UAL
UBER,Uber,US,UBER
UDR,"UDR, Inc.",US,UDR
UHS,Universal Health Services,US,UHS
ULTA,Ulta Beauty,US,ULTA
UNH,UnitedHealth Group,US,UNH
UNP,Union Pacific Corporation,US,UNP
UPS,United Parcel Service,US,UPS
URI,United Rentals,US,URI
USB,U.S. Bancorp,US,USB
V,Visa Inc.,US,V
VICI,Vici Properties,US,VICI
VLO,Valero Energy,US,VLO
VLTO,Veralto,US,VLTO
VMC,Vulcan Materials Company,US,VMC
VRSK,Verisk Analytics,US,VRSK
VRSN,Verisign,US,VRSN
VRTX,Vertex Pharmaceuticals,US,VRTX
VST,Vistra Corp.,US,VST
VTR,Ventas,US,VTR
VTRS,Viatris,US,VTRS
VZ,Verizon,US,VZ
WAB,Wabtec,US,WAB
WAT,Waters Corporation,US,WAT
WBA,Walgreens Boots Alliance,US,WBA
WBD,Warner Bros. Discovery,US,WBD
WDAY,"Workday, Inc.",US,WDAY
WDC,Western Digital,US,WDC
WEC,WEC Energy Group,US,WEC
WELL,Welltower,US,WELL
WFC,Wells Fargo,US,WFC
WM,Waste Management,US,WM
WMB,Williams Companies,US,WMB
WMT,Walmart,US,WMT
WRB,W. R. Berkley Corporation,US,WRB
WSM,"Williams-Sonoma, Inc.",US,WSM
WST,West Pharmaceutical Services,US,WST
WTW,Willis Towers Watson,US,WTW
WY,Weyerhaeuser,US,WY
WYNN,Wynn Resorts,US,WYNN
XEL,Xcel Energy,US,XEL
XOM,ExxonMobil,US,XOM
XYL,Xylem Inc.,US,XYL
XYZ,"Block, Inc.",US,XYZ
YUM,Yum! Brands,US,YUM
ZBH,Zimmer Biomet,US,ZBH
ZBRA,Zebra Technologies,US,ZBRA
ZTS,Zoetis,US,ZTS
